iteration,train_mae,valid_mae
1,2809.28253643357,2550.010037388547
2,2762.2864422359617,2503.9745924585313
3,2716.49834396213,2459.32193328991
4,2671.7049727908043,2417.1342001930298
5,2627.8010903748936,2375.0159026513134
6,2584.9387897001293,2334.8144784478473
7,2542.804732776239,2294.821191930132
8,2501.4789709882166,2257.3072957655063
9,2461.2253816308903,2221.5026448163835
10,2421.5157766058733,2184.7296607430276
11,2382.8290137625013,2149.592358496756
12,2344.7135014707173,2114.6674008003333
13,2307.4594477139103,2080.490148985646
14,2270.676750447968,2046.855530918164
15,2234.6013305253377,2015.4428681418997
16,2199.110929507584,1983.1308330962406
17,2164.415994419069,1954.6371094105587
18,2130.180790837189,1923.1001400020152
19,2096.4495839927895,1894.798512996557
20,2063.4998018074416,1865.58854687304
21,2031.041875061851,1836.6366625771318
22,1999.2146125557576,1808.7165482951416
23,1967.9924771501933,1781.4695183363974
24,1937.273354472554,1756.4937479838431
25,1907.2821740567515,1731.8868563186543
26,1877.5338103562917,1708.0380880433627
27,1848.3061950991967,1684.5088039083373
28,1819.7883116190799,1660.220984594059
29,1792.0776843867052,1637.6202506444788
30,1764.8319775828954,1614.441636373743
31,1737.9546889819694,1592.6791505604008
32,1711.4184503141842,1572.2668453951148
33,1685.4194800783598,1550.1373172358615
34,1659.7981801418596,1530.9711498940426
35,1634.9939136400494,1511.3056951768474
36,1610.4844275914486,1492.0146066420325
37,1586.4237372853331,1473.596260899383
38,1562.8398793893373,1455.7525493572448
39,1540.1100856474445,1437.7091913642873
40,1517.3821300385948,1422.6361321915394
41,1495.2790863035716,1407.908300527206
42,1473.6547802787345,1393.3987115436285
43,1452.5389730380116,1378.0217240932254
44,1431.9816833594277,1362.6019256475608
45,1411.7057634695425,1349.7479579013755
46,1391.87006672885,1336.6405774379166
47,1372.9019416613908,1324.6588315552185
48,1354.0922400062811,1312.497471143475
49,1335.9459199752735,1301.4204602594134
50,1318.0580232103098,1290.5422489016303
51,1300.403880825544,1279.4266189797424
52,1283.4878322998572,1267.9160182832507
53,1266.9298725778842,1257.8599988691726
54,1250.7066829353766,1248.6452557806738
55,1234.9363358987573,1239.6884288149308
56,1219.8594906555306,1231.9954258326936
57,1205.0157636492168,1224.1138617117383
58,1190.418716324728,1216.079155011601
59,1176.5055844061076,1207.7992028058159
60,1162.7780664393763,1200.4931377002063
61,1149.7648917361016,1193.1898411850182
62,1136.963283831128,1187.7206857959493
63,1124.2575825560052,1181.7916897095863
64,1111.8922550468237,1175.9238873242448
65,1100.1958145241217,1170.027620058758
66,1088.6742019997273,1164.712945184541
67,1077.3217583974106,1158.9501765834125
68,1066.6555447106623,1153.9215187206487
69,1056.082806495018,1149.3127470188717
70,1046.0678550800237,1144.7888971892085
71,1036.2875367729384,1140.7019026312703
72,1026.684509904048,1136.6248749391411
73,1017.3921729566285,1132.1681804581567
74,1008.3084742176692,1128.8277030535048
75,999.0394581552034,1125.4470350179076
76,990.4838976184124,1122.4116379285606
77,982.1255381066895,1119.8291063442487
78,973.9918341796442,1117.248650170455
79,965.9863983545953,1114.8911641638583
80,958.4540215469303,1112.70753250799
81,951.2711720548177,1110.6163540208995
82,944.1322911068762,1108.5516790362083
83,937.3418760496202,1106.4935157705258
84,930.3945639899083,1104.472816966404
85,923.8417166845334,1102.788563459307
86,917.5651503943611,1100.5235790754798
87,911.4054949163881,1099.0141356552099
88,905.5306553764466,1097.915668939424
89,899.8935046082188,1096.4552448261722
90,894.3969579468077,1095.4224833486667
91,888.8398552619993,1095.0545650092404
92,883.2078238344607,1095.1269425201758
93,877.6130357607934,1094.4207511898592
94,872.6894562240586,1093.166049238642
95,867.382600365509,1092.2882431238568
96,862.1895013592305,1091.4568231773899
97,857.241052593058,1090.256741147156
98,852.5660229388645,1088.8658064850565
99,848.1651405269263,1087.8064052844138
100,843.8510632671356,1087.072143796007
101,839.1923859141228,1086.1791370923233
102,834.68955141849,1084.9706689167338
103,830.3507474259387,1084.2019659873486
104,826.5460468854901,1083.2021417890217
105,822.8747380650927,1082.3134419078326
106,819.1089448723836,1081.5632414566378
107,815.5802977956856,1080.5980993866465
108,811.5501472486415,1079.8899509401629
109,808.0362018629097,1079.3202896109535
110,804.7001397659319,1078.7622788720691
111,801.1417656909265,1078.3481395884355
112,797.1197707399094,1077.9390849572026
113,794.3933710872534,1077.4628148994286
114,791.2351327833892,1077.0481085779331
115,788.1441408797766,1076.5816153337519
116,785.1105326940059,1076.2223594156924
117,781.9277967859325,1075.9547681847662
118,778.9371601111312,1075.5877956795664
119,776.0524179855266,1074.9905427203337
120,773.3106838870931,1074.886175093534
121,770.5830261540502,1074.5909863144288
122,768.1084759424766,1074.3227151565254
123,765.7653563971387,1074.173860667509
124,762.7913359609868,1073.8889099376045
125,760.0006633381594,1073.896232352954
126,757.1111539148023,1073.82321114126
127,755.1308396818877,1073.7716945317843
128,752.5304310794583,1073.8275902859848
129,750.1356093334871,1073.9717629563988
130,748.0308434276842,1073.694951361104
131,745.789381085584,1074.0128321720736
132,743.2423846239149,1074.1935006483864
133,740.8049453595022,1074.4960734147073
134,738.9744178466161,1074.579461972517
135,736.7081781220173,1074.0931060520963
136,734.3533265191049,1074.2816265841748
137,731.9332113623371,1074.125656339705
138,729.624863810441,1073.9535651135068
139,727.2892725161244,1073.7803559239896
140,724.9642698190161,1073.531235837822
141,723.1894269895071,1073.5755596133642
142,721.3110586494407,1073.5775955329073
143,719.183713392093,1073.6867694461846
144,717.0918062546149,1073.980998356229
145,715.4562087986138,1074.128487273983
146,713.256256940703,1074.2075912933437
147,711.2296374733068,1074.4567442722216
148,709.1739131294626,1074.272547727851
149,707.2221705621193,1074.179905997248
150,705.9446637576938,1074.3249635211127
151,703.8951247632212,1074.204343029825
152,702.2891139252913,1074.2074741188273
153,700.6028348622997,1074.0276907506366
154,698.795906874736,1074.0080424702269
155,696.6755337883855,1074.0181269475434
156,695.3190501377434,1073.985579194897
157,693.5398339261806,1073.7312562965558
158,691.9258760701745,1073.6492251754253
159,690.344042448564,1072.9028810770717
160,688.3057729259124,1073.047172977557
161,686.6601327109319,1072.912282197113
162,685.0582377570579,1072.9145904095337
163,683.5432882075308,1072.8637291426937
164,681.732836277714,1073.0042303969203
165,679.6909229170235,1073.1725346945818
166,678.1257040690587,1072.2138527353438
167,676.5407740688403,1072.1613136133053
168,674.9462774935533,1071.8547577607048
169,673.4962680404251,1071.8651007662068
170,671.8797481193369,1072.289736700544
171,670.341752217338,1071.8873448768752
172,669.0422919235859,1071.769160658545
173,667.6936388538835,1071.724080796566
174,666.5251373588632,1071.8049179914715
175,665.1747302899344,1071.7656946915865
176,664.0744354021535,1071.8264792057305
177,662.9054984413774,1071.9591180213363
178,661.2755195029206,1072.1855373753701
179,660.0940567804496,1072.2692568423618
180,658.6978962239153,1072.3699130641057
181,657.1241985634174,1072.7031091742397
182,655.6401955431505,1072.9718757718076
183,654.4452486574335,1073.0537172518266
184,652.8835752767437,1073.1274776137107
185,651.7759954961261,1073.319318297939
186,650.4947799976334,1073.5055528714222
187,649.1460934222928,1073.7099017522876
188,648.0600859523545,1073.580657684125
189,646.6207898481056,1073.9058747032375
190,645.5721466271077,1073.7778591731337
191,644.6081350173048,1073.9226419855565
192,643.5898267949551,1073.8058680432441
193,642.4663708760744,1073.8355371290147
194,641.5366315905826,1073.779697830278
195,640.2173983364523,1073.667345190024
196,639.1801632389447,1073.6743903777617
197,638.1604007052056,1073.6782367102178
198,636.9737835296112,1073.5519145322526
199,635.8634857805446,1073.4888396389886
200,634.6788555218075,1073.4448903004723
201,633.2499315558908,1073.6306544339268
202,632.213056263329,1073.6072201494437
203,630.7671725262074,1073.382571285275
204,629.4478314836525,1073.5846999888886
205,628.493963529539,1073.5790886023258
206,627.5475805726655,1073.397986719488
207,626.4483261349253,1073.175872543201
208,625.1604776179889,1073.190976124787
209,623.9627702529351,1073.2293529958597
210,623.0751837700811,1073.5553850471758
211,622.2008332882577,1073.3036879151746
212,621.2198187593549,1073.1252847832666
213,620.24189188376,1072.9787393509314
214,619.472623019318,1073.0076643756647
215,618.2971903057328,1072.9227254193477
216,617.5036681548871,1073.158794574954
217,616.7954313220206,1072.9776370010686
218,615.9374434288958,1072.8214089456797
219,615.2313369290857,1072.5493343607836
220,614.220963483978,1072.628789403127
221,613.2882702605931,1072.7384608321724
222,612.2477281761011,1072.6807671555607
223,611.3609366692816,1072.697984553814
224,610.2987553512247,1072.574901579378
225,609.3549937892982,1072.6039655286565
226,608.4092197283834,1072.5909696228853
227,607.5223903970143,1072.5900642590855
228,606.383764942612,1072.5210691775765
229,605.4502000811113,1072.4364270266112
230,604.459036196914,1072.5237506548162
231,603.5400210469069,1072.6176541829943
232,602.5808083466371,1072.5954114860363
233,601.66655133255,1072.5795957994628
234,600.6581803380159,1072.614459944562
235,599.6848016913503,1072.4193192089197
236,598.739492246608,1072.3914084520707
237,597.8861264687557,1072.517475334243
238,596.8150171856533,1072.4324439274187
239,595.9031227467651,1072.1830547660563
240,594.9769201541319,1071.9780962563361
241,593.9759331258082,1072.0038254002452
242,592.9924832332291,1071.7133557421168
243,592.0901101445409,1071.9269906205795
244,591.1817922691781,1071.77943989187
245,590.5506222737692,1071.8560948261877
246,589.7134116025821,1072.1151700245548
247,588.8491229479873,1072.1451479878986
248,588.1016614466305,1071.9108860684767
249,587.3325082446248,1071.7420015298535
250,586.4513377838674,1071.7866354814182
251,585.6228733693898,1071.7803598599219
252,584.7118816698822,1071.7019772186743
253,583.9384422922144,1072.0286383208042
254,583.069075833366,1072.2788379516458
255,582.3452696256883,1072.1965985344223
256,581.5376516517448,1072.5217063448083
257,580.7219926221292,1072.586000123877
258,579.9725737456484,1072.6343996752162
259,579.120154617564,1072.6748023919708
260,578.4150008537409,1072.9167150168296
261,577.7146131152866,1073.0645765399165
262,576.9675000086936,1073.155488315501
263,576.2124449054386,1073.3705809988485
264,575.3267927844186,1073.3998336904087
265,574.6983015259057,1073.5861492625104
266,573.9934845831065,1073.577813618203
267,573.1443016939279,1073.7300878893434
268,572.4274246660398,1073.7724016927143
269,571.7180759899865,1073.8143043689554
270,571.0358173985596,1073.8804119997812
271,570.2312702326985,1073.9944788802604
272,569.5842639953211,1074.018556770098
273,568.8418255212914,1074.2007226278618
274,568.1310364472497,1074.4906881492645
275,567.3177824525214,1074.5528604646229
276,566.7000606231069,1074.3814771544157
277,565.92390086197,1074.4617600113315
278,565.4082689194369,1074.5787102545303
279,564.7423063307984,1074.6100230901363
280,563.9315499418532,1074.7811239505593
281,563.2597095581402,1074.6302869651447
282,562.6900670620857,1074.6217464685265
283,562.0573292048857,1074.5428602169216
284,561.5512591714995,1074.623990986364
285,560.9277060380166,1074.6058399883034
286,560.3390513500296,1074.6608705395843
287,559.7030574309741,1074.2527589538277
288,559.1575626788187,1074.1429711596634
289,558.567455568156,1074.1707600383154
290,557.9100228932346,1074.2405642830863
291,557.3227339232508,1074.3092205177763
292,556.8088725845505,1074.1741754997754
293,556.29093018451,1073.941940255781
294,555.7039304484157,1074.1267687118127
295,555.0483032266235,1074.2627416035425
296,554.506428339642,1074.1933121017091
297,553.7775187269236,1074.1688869985546
298,553.1435398568572,1074.21259075922
299,552.6109199905205,1073.9198132030729
300,552.0006185503767,1073.8667617372262
301,551.3959432751219,1073.8569879655379
302,550.852953593273,1073.7466583458017
303,550.3087940717073,1073.766399313219
304,549.7127643931374,1073.7053191134105
305,549.0854505236989,1073.8037659109316
306,548.6897464132568,1073.6601217858135
307,548.1166049740762,1073.8349131310392
308,547.5790403071115,1073.6817997479582
309,547.107769320777,1073.7564724490553
310,546.6456873121482,1073.8671937955557
311,546.1917032655092,1073.8431398821513
312,545.762998175078,1073.8120775601708
313,545.3096503879118,1073.8379987755557
314,544.685927880133,1073.7886436908905
315,543.9664221396469,1073.4513366211122
316,543.5163626435167,1073.5132366311057
317,542.8537369384337,1073.4063123008484
318,542.3465086940206,1073.6955740249382
319,541.8596580545652,1073.7377969496235
320,541.2912786437379,1073.863415935601
321,540.7465961483584,1073.9476007781786
322,540.166522953552,1074.0194896793867
323,539.7551782922485,1073.982006679727
324,539.2044974249842,1073.6725440681712
325,538.7793592167122,1073.727182018181
326,538.1289618241311,1073.7799384358732
327,537.4675982127283,1073.8938125139853
328,536.9798513971716,1073.9418182456086
329,536.4778000391382,1074.008737062489
330,536.0263399905286,1074.101504681875
331,535.5120250053944,1073.8981108551436
332,535.027138377582,1073.8643512553767
333,534.4586132848843,1073.8132699472944
334,533.9366373097934,1073.7590296765227
335,533.4230172792925,1073.8185945888251
336,532.8548681316901,1073.8699163873553
337,532.3804606709316,1073.8815675527992
338,531.8691173793811,1073.8405875177302
339,531.3858356320115,1073.8997930495843
340,530.8509478159549,1073.858046015848
341,530.2843315409808,1073.8569448305577
342,529.8367057928295,1073.865374292699
343,529.3266354601454,1073.662938717419
344,528.7860871819399,1073.7213905037759
345,528.2618279421655,1073.8153551982125
346,527.744390884948,1073.776311508769
347,527.3163299101084,1073.726174504581
348,526.8012539415645,1073.6992728732632
349,526.2922279079177,1073.5862669963963
350,525.7420870096157,1073.7104715017276
351,525.2365067203327,1073.7945465085968
352,524.6488003638027,1073.7440900079
353,524.0721611071369,1073.7479835768816
354,523.6065469355577,1073.5846175354166
355,523.1476277741708,1073.6067389970888
356,522.6345247774383,1073.621100898594
357,522.2207939448687,1073.7188243324008
358,521.7635732324807,1073.7412349756232
359,521.2067589841289,1073.750970838582
360,520.7556046868089,1073.6141617318171
361,520.1977134748907,1073.8253331463102
362,519.6855289832138,1073.8595716500968
363,519.2528685072378,1073.9263384620476
364,518.8475217000779,1074.012732692745
365,518.4706735071204,1073.9481658401048
366,517.9866709911862,1074.0035817957078
367,517.4537923232699,1074.0579874159432
368,516.9711219148053,1073.8229961327518
369,516.6039280366246,1073.9300421239425
370,516.1152954375084,1073.9040633098068
371,515.6328334988156,1073.8791167273466
372,515.157982907883,1073.855428552382
373,514.7703130421735,1073.8793002520429
374,514.4807044739657,1073.989579383805
375,513.898654642291,1074.0366132143301
376,513.4766590585965,1073.9889581543
377,513.1180469309427,1073.9761478621806
378,512.6879269563149,1073.9315361973615
379,512.1756086736816,1074.0262298697887
380,511.7546415257477,1074.0432949611932
381,511.2669267295217,1074.0907649893884
382,510.8628109980686,1074.1203707130114
383,510.32230653892924,1074.0794674935928
384,509.71396253524335,1073.8989460068117
385,509.323502098926,1073.9037533206854
386,508.75233694709345,1073.8873043618692
387,508.354591781451,1073.8396777461078
388,507.9487509121707,1073.8568741347642
389,507.4241616777894,1073.8160983729658
390,506.9950798660852,1073.6662736246215
391,506.5832409644467,1073.6395546895276
392,506.09050693026285,1073.6476520820968
393,505.69211561763353,1073.6233296951857
394,505.3095499495657,1073.6882896239088
395,504.9343187464508,1073.7460179392122
396,504.41075117041805,1073.750470792494
397,503.96963799709977,1073.8473339990883
398,503.53142831007983,1073.8835814972967
399,503.10702336708346,1073.8648894973192
400,502.71790885429857,1073.8406824076255
401,502.30971747238675,1073.7009893268655
402,501.8264273554343,1073.73203279418
403,501.4494321451027,1073.4869979420962
404,500.9744492187218,1073.4823876083115
405,500.41045776813246,1073.4396148881115
406,499.9736369043349,1073.4415580977968
407,499.491294841491,1073.40187568097
408,499.0700918678384,1073.4231229351096
409,498.4587175149219,1073.4450532063527
410,498.04947703902394,1073.5361816963343
411,497.67039290409286,1073.5078872172187
412,497.24614422696243,1073.5293675336295
413,496.9156362597077,1073.4335584024727
414,496.5109865824677,1073.4657587433783
415,496.1331602961282,1073.5470937405407
416,495.8013280022323,1073.5394649674001
417,495.45099427529414,1073.478326860314
418,495.07534372631903,1073.5210651173138
419,494.6559545168121,1073.587923144148
420,494.3525519792318,1073.4797683030074
421,494.002851213586,1073.4878710757064
422,493.61366131735383,1073.669316002938
423,493.26149641402026,1073.674999449473
424,492.9281943391209,1073.7164861053443
425,492.51181121941636,1073.6203471079784
426,492.1696811407006,1073.7227275887738
427,491.8336087418818,1073.7598987528977
428,491.3910026207776,1073.804828718569
429,490.90711229206977,1073.8719273129545
430,490.5241720764941,1073.827698179475
431,490.21999214657586,1073.7953660156584
432,489.8774816926201,1073.9420596907237
433,489.49049495043175,1073.909698480744
434,488.9905329652147,1073.9306993525167
435,488.6271219152103,1073.8899588877407
436,488.2474094297856,1073.9149973745143
437,487.9298573056567,1073.8441894909272
438,487.64792036755085,1073.8047618005883
439,487.2906827405704,1073.822451208529
440,486.9935888438323,1073.916320080046
441,486.6680751993689,1073.9306815337738
442,486.37698306239423,1073.9665385706487
443,485.98330175819933,1074.0412195886674
444,485.60014019703704,1074.068259930281
445,485.1076380294447,1074.3671447178642
446,484.807115758487,1074.307421552399
447,484.4198752800832,1074.3265451080424
448,484.1248678023244,1074.3495917465912
449,483.7471444331704,1074.322745863282
450,483.42503848557726,1074.3401700312636
451,482.8604486164722,1074.414245092373
452,482.53276774111583,1074.335109458586
453,482.120616358457,1074.348982536664
454,481.8106357205823,1074.4021724275851
455,481.38759487506303,1074.392560770992
456,481.1140356981787,1074.4244826169436
457,480.8413756313651,1074.4017104257482
458,480.49836832736366,1074.4512092519892
459,480.1270428550404,1074.405347351928
460,479.85661725347865,1074.3964095299116
461,479.5381763281345,1074.3945381236492
462,479.1884507895099,1074.4608515386954
463,478.91255930416145,1074.4791949945766
464,478.4633835170992,1074.4697387541676
465,478.06759847769905,1074.4458374108738
466,477.7241178339952,1074.4837464594352
467,477.3505310618893,1074.5154057280015
468,476.99628601490787,1074.5482346124893
469,476.7355682855735,1074.5623140140701
470,476.30690217808774,1074.5120481893498
471,475.9584654714658,1074.576193146944
472,475.6501135308718,1074.6188709604721
473,475.3670676229532,1074.6767674354433
474,474.98671815973825,1074.7733602946682
475,474.7454171133454,1074.8503372467874
476,474.5619089059928,1074.8065936388653
477,474.23753613213955,1074.826059000457
478,473.84461092603345,1074.8699050478288
479,473.43379935757133,1074.9767512919095
480,473.0895201642923,1074.9817231393063
481,472.84823957618596,1074.99102441882
482,472.4243242492972,1074.9115971019755
483,472.1125991626019,1074.9159613914178
484,471.810904994922,1075.0312294788794
485,471.472376981262,1074.9964247838377
486,471.1553392556232,1075.0248124268467
487,470.81098278098574,1074.9917814627981
488,470.3440395416843,1075.0873966450886
489,470.07253345466955,1075.0802760129134
490,469.81742760007495,1075.049807801949
491,469.4703550612486,1074.8021346995163
492,469.2050525162644,1074.7533546244997
493,468.7802062408839,1074.6937292815367
494,468.4745136144576,1074.7358445824407
495,468.1909504082447,1074.6909951813032
496,467.8674560016579,1074.5925244283203
497,467.475501468175,1074.4721554420837
498,466.9767571560387,1074.4363423405418
499,466.72538284042383,1074.413726380585
500,466.45295577315625,1074.5299710033494
501,465.904956020502,1074.4501664170402
502,465.5639684435999,1074.3386722036473
503,465.1701371600219,1074.2840495044782
504,464.6642691670169,1074.2164129301739
505,464.33037545384,1074.390469260902
506,463.97696628577773,1074.2099683242598
507,463.62262008931236,1074.1459400960457
508,463.2324832441243,1074.1708149285691
509,462.75056877965596,1074.1574981877452
510,462.314420844024,1074.059752789419
511,461.9229400433076,1073.9602756019806
512,461.59575086567844,1073.9292586002073
513,461.31463424383696,1074.0068166354486
514,460.96833463500326,1073.9548119970448
515,460.6336365126904,1073.9017114954772
516,460.3380829489687,1073.8994714807516
517,459.8998013484829,1073.813543474729
518,459.6243809645756,1073.8827530423055
519,459.37099857101657,1073.9730368861083
520,459.0024833827373,1073.9698261355982
521,458.706439177313,1073.9118883536878
522,458.4171547558654,1073.8623086580935
523,458.1890244827111,1073.911876676601
524,457.76701174792305,1073.8621388465324
525,457.42556658431334,1073.878352390016
526,457.1318031751561,1073.872141836657
527,456.7755066258791,1073.8137365691557
528,456.2476729416421,1073.7057802268541
529,455.8939575554668,1073.6721196081442
530,455.61439979006224,1073.619550874853
531,455.3282524290819,1073.541503200666
532,455.0155077057715,1073.5379302428544
533,454.7569936370638,1073.4437327438427
534,454.49604384930603,1073.4524858745294
535,454.05728695666306,1073.4587428541936
536,453.6796692390478,1073.511599823452
537,453.3585946004107,1073.4628661612392
538,453.0112927768048,1073.4363695323648
539,452.6131185049001,1073.3762680805787
540,452.25859896094755,1073.3894485523724
541,451.8625312425489,1073.368007788059
542,451.45379053823024,1073.3163405382493
543,451.1659014628435,1073.213842994572
544,450.7696246705578,1073.3877071987395
545,450.38342783285725,1073.428247962769
546,449.956475746987,1073.441486774806
547,449.6170440230757,1073.4341842572069
548,449.3461759236861,1073.3818497714374
549,448.9893213467112,1073.3517292814033
550,448.6579929772299,1073.2952727043016
551,448.43202318135786,1073.2775744179742
552,448.1253223726663,1073.3364898388907
553,447.83864896840845,1073.3651854754964
554,447.576250647527,1073.3054788883235
555,447.22651480090605,1073.4275534668463
556,446.99704590003523,1073.412033542726
557,446.6925290184769,1073.4545608316757
558,446.29548013856675,1073.5560195640185
559,445.93985551313733,1073.6811718624124
560,445.6389287242263,1073.7147943656119
561,445.28042890393533,1073.700219776309
562,444.87053424223416,1073.7194059547094
563,444.5295508960992,1073.6917873222976
564,444.27548835273825,1073.6529562933827
565,443.9748706264521,1073.6772875986403
566,443.7472573479753,1073.6452027432347
567,443.45021125911694,1073.7392981170353
568,443.23256695859584,1073.6851647582446
569,443.0039044564143,1073.596692464761
570,442.72767618423876,1073.5725595713182
571,442.458605670993,1073.585238790313
572,442.10444560007,1073.6913362554487
573,441.73559379346,1073.6267911469572
574,441.5400850398919,1073.5236084189476
575,441.1482824915061,1073.517678264224
576,440.8510223596649,1073.526192727517
577,440.55873917296606,1073.530934329872
578,440.35031457701336,1073.5714927515396
579,440.0030921417107,1073.5605801538402
580,439.75594368085234,1073.5605136449703
581,439.4953087122733,1073.6045226651725
582,439.0748352849946,1073.6914885407484
583,438.77099115295664,1073.639561022809
584,438.3876870092139,1073.665351027582
585,438.1340208061935,1073.6557975913893
586,437.7673987577847,1073.7368339011912
587,437.56054808975495,1073.7790632559327
588,437.28515435699137,1073.8378803573735
589,437.02840746771864,1073.859912656608
590,436.69962122527767,1073.929445455853
591,436.47471949156846,1073.943056800241
592,436.17003065260906,1074.1051994603827
593,435.9383911466157,1074.0958507750843
594,435.763684766227,1074.1425210048408
595,435.56727575121204,1074.1316293153352
